,,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19
T3 Bankstown Line,School Student,"28,934","68,907","50,754","46,327","62,104","26,485","3,824","60,165","74,103","26,290","80,116","68,979","32,763","75,703","50,496","48,713","64,464","25,230","4,469","62,131","69,260","31,158","81,818","68,935","37,476","79,653","70,791","43,697","72,352","37,249","4,760","70,752","81,023","43,585"
T3 Bankstown Line,Senior/Pensioner,"227,938","255,536","251,984","259,218","262,304","247,124","235,756","228,102","262,193","240,326","269,383","252,763","228,782","242,881","235,344","240,935","249,416","240,528","227,495","218,228","255,607","248,290","269,395","244,763","257,691","258,190","255,322","263,738","254,792","268,816","239,250","248,638","278,297","267,687"
T3 Bankstown Line,Sgl Trip Rail Adult,"4,303","14,894","15,599","15,796","15,247","19,491","16,062","14,125","15,557","15,432","14,156","15,053","13,451","13,744","13,804","14,519","16,384","21,824","18,293","16,216","19,787","17,748","17,096","17,760","14,770","15,391","15,096","16,291","15,866","20,493","14,541","12,612","14,666","14,257"
T3 Bankstown Line,Sgl Trip Rail Child/Youth,"1,630","3,929","4,930","4,582","3,591","5,661","5,580","3,184","3,783","5,068","3,630","4,346","5,089","3,909","4,414","4,166","3,848","6,420","6,203","3,570","4,395","5,579","4,094","5,104","5,480","3,966","3,795","4,468","3,343","5,901","5,039","3,040","3,720","5,247"
T4 Eastern Suburbs and Illawarra Line,Adult,"3,970,697","4,389,115","4,212,808","4,042,741","4,461,496","4,147,929","3,863,971","4,090,553","4,763,437","3,960,382","4,674,114","4,271,946","4,305,581","4,629,174","4,412,414","4,599,565","4,687,949","4,277,144","4,174,954","4,352,183","4,639,415","4,334,778","4,943,506","4,422,907","4,592,540","4,853,759","4,420,673","4,809,361","4,936,009","4,108,485","4,274,023","4,410,384","4,703,507","4,152,851"
T4 Eastern Suburbs and Illawarra Line,Child/Youth,"175,608","155,625","179,420","174,816","170,691","238,791","239,712","157,792","167,964","206,283","145,946","158,885","220,360","157,585","198,079","187,015","157,387","241,888","255,286","169,622","164,999","214,711","148,274","159,993","225,519","154,868","160,156","201,703","170,358","211,803","261,385","166,644","163,205","195,776"
T4 Eastern Suburbs and Illawarra Line,Concession,"292,557","343,152","284,622","266,306","244,085","211,227","184,810","216,161","369,528","278,639","348,834","260,856","237,799","378,385","302,606","301,410","255,725","214,617","193,250","228,485","348,865","291,531","349,041","258,573","242,357","355,392","284,382","287,661","248,001","191,743","190,863","237,772","346,346","283,346"
T4 Eastern Suburbs and Illawarra Line,CTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,736","81,424","121,725","136,517","153,631","144,958"
T4 Eastern Suburbs and Illawarra Line,Day Pass Child/Youth w/o SAF,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,6,9,3
T4 Eastern Suburbs and Illawarra Line,Day Pass without SAF,,,,,,,,,,,,,,3,9,12,,,,,3,9,25,32,26,49,28,32,72,37,65,54,48,65
